Location,Price,Total_Area,Price_per_SQFT,Baths,Balcony,BHK,State,Year,District,Temperature (°C),Condition,Humidity (%),Wind Speed (km/h),Disaster
"Moogambigai Nagar, Ramapuram,Chennai",5500000.0,1200,4580.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Metro Star City ,Manikandan Nagar, Thiruneermalai,Chennai",5700000.0,1150,4960.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Periyar Nagar, Chromepet,Chennai",3200000.0,570,5610.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Chelliamma Nagar, Chennai",4425000.0,770,5750.0,2,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"New Washermanpet, Tondiarpet,Chennai",7300000.0,940,7760.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Ramalingapuram, Chennai",5850000.0,1294,4520.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"BARACA ,Venkatasamy Nagar, Shenoy Nagar,Chennai",13300000.0,1110,11980.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Elango Nagar, Padi,Chennai",6000000.0,950,6320.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Anna Ayyar Thottam, Ponniammanmedu,Chennai",2800000.0,595,4710.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Karayanchavadi ,Karayanchavadi, Chennai",3800000.0,704,5400.0,2,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Kumananchavadi ,Karayanchavadi, Chennai",3800000.0,710,5350.0,2,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
